,MG_1_1,MG_1_2,MG_1_3,Br3_1_1,Br3_1_2,Br3_1_3,Br7_1_1,Br7_1_2,Br7_1_3,Br10_1_1,Br10_1_2,Br10_1_3,Br15_1_1,Br15_1_2,Br15_1_3,QC1,QC2,QC3
Label,MG,MG,MG,Br3,Br3,Br3,Br7,Br7,Br7,Br10,Br10,Br10,Br15,Br15,Br15,QC,QC,QC
"6-[(8a-carboxy-6b-cyclohexyl-4,4,6a,11,11,14b-hexamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,14,14a,14b-icosahydropicen-3-yl)oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid.1",523700,1045764,935413,524642,390789,384806,767856,991789,757420,612649,782162,764383,676023,581139,578625,578563,482304,540954
"2,13-dihydroxy-5,9-dimethyl-12-(3-methyl-6-phenylhexyl)-13-[2-(5-oxo-2,5-dihydrofuran-3-yl)ethyl]-5-{spiro[4.4]nonan-2-yl}tricyclo[7.3.1.0?,?]tridec-10-en-7-yl acetate",118761,320721,262951,211862,149709,141852,249636,456704,585376,1241467,194547,776090,231527,667448,869549,164704,362909,298553
"2,13-dihydroxy-5,9-dimethyl-12-(3-methyl-6-phenylhexyl)-13-[2-(5-oxo-2,5-dihydrofuran-3-yl)ethyl]-5-{spiro[4.4]nonan-2-yl}tricyclo[7.3.1.0?,?]tridec-10-en-7-yl acetate.1",169917,136133,209066,388685,131446,133965,187248,301381,309750,789934,164542,714959,213789,700795,1354465,47397,130133,83200
"CE(22:4(7Z,10Z,13Z,16Z))",4496400,3621667,4023044,4498422,4760128,4418144,4279623,4268521,4501580,4682802,4337156,4282559,4764110,4587513,4464648,4393272,4498016,4493461
PubChem_108127947,1811860,1425842,1458284,1618016,1603677,1669804,1774044,1766296,1732766,1677146,1580584,1756316,1682505,1668934,1784189,1751843,1627495,1616098
"CE(22:4(7Z,10Z,13Z,16Z)).1",3555733,2815030,2965944,3456484,3225736,3630580,3499005,3463550,3352206,3256394,3328124,3400134,3783990,3581820,3153864,3651272,3465027,3276748
"CE(22:4(7Z,10Z,13Z,16Z)).2",4943786,4508384,4608636,5654700,5789844,5677833,5854132,6256529,6353656,5884298,5854499,5818006,5806716,5554590,5685663,5987646,5939108,5797897
"CE(22:4(7Z,10Z,13Z,16Z)).3",4532456,4048295,4525930,5585188,6182533,5183978,5178044,5096102,5198120,5135728,5026698,5025640,5584235,5402742,5153846,5125398,5573240,5776382
"CE(22:4(7Z,10Z,13Z,16Z)).4",3898663,3593430,3361511,4039065,3914444,4146958,4174251,3970701,3955967,3675674,3895201,4062700,4080535,3871790,3842683,4240894,3962558,3802644
"CE(22:4(7Z,10Z,13Z,16Z)).5",188868352,179821856,179373072,200578848,194773152,198102608,198230544,206529712,192356896,195371952,193812512,207476064,191377024,190537136,178313280,203454544,194640688,195067664
"CE(22:4(7Z,10Z,13Z,16Z)).6",5085116,4925425,4778894,5588960,5958957,6074543,6436000,5817316,6563074,5885715,6141094,5705260,6094325,5808057,5991656,5717064,6282899,4422429
"CE(22:4(7Z,10Z,13Z,16Z)).7",4232066,3990963,3605101,4542990,5026678,4384308,4754594,4707094,4538028,4522912,4984904,4589870,4716413,4625899,4778971,5042750,4617258,4446792
"CE(22:4(7Z,10Z,13Z,16Z)).8",4427710,4086389,4183196,5199106,4973763,5066879,5579991,5716128,5290058,5470780,5635292,5504386,5450734,5286600,4986382,5001908,5165912,4932067
"CE(22:4(7Z,10Z,13Z,16Z)).9",4870058,4555130,4710670,4892718,4936314,5411294,5367582,5537826,4833542,5555490,5239568,5503596,5653518,5200318,5402204,5381017,5540875,5004514
"CE(22:4(7Z,10Z,13Z,16Z)).10",1954242,1770226,1836329,1954150,2072473,2049401,1996369,1989926,2044767,1994846,1887194,1965578,2110649,2032119,2122404,2103632,2084267,1899618
"CE(22:4(7Z,10Z,13Z,16Z)).11",5743993,5116714,4828012,5552094,5159168,5522674,5672528,5934934,5363525,5457580,5295906,6266684,5786826,5540628,5491378,5408990,5489875,5200932
"CE(22:4(7Z,10Z,13Z,16Z)).12",4250006,3990963,4100341,4513015,5026678,4684449,4754594,4748758,4771651,4510311,4984904,4833918,4716413,4625899,4196700,5042750,4660899,4740790
"CE(22:4(7Z,10Z,13Z,16Z)).13",5033279,4770122,4792202,5077972,5411024,5539771,5859534,5444284,5548979,5473964,5370218,5454652,5792196,5461528,5571372,5828717,5782452,5569507
"CE(22:4(7Z,10Z,13Z,16Z)).14",4730118,4279650,4462722,5137117,5387198,5116706,4978286,5048048,5362888,5093804,5100962,4972194,5536117,5436917,5233658,5090482,5790450,5461975
"CE(22:4(7Z,10Z,13Z,16Z)).15",7413154,6585368,7058640,9060823,9332452,8511717,9591736,8843178,8899560,9123853,9371262,8323060,8835359,8688732,9358856,8396108,8739247,9373268
"CE(22:4(7Z,10Z,13Z,16Z)).16",4739718,4569850,4567918,5338343,5649176,5411294,5783614,5207900,5326047,5555490,5239568,5601522,5653518,5665558,5629759,5640602,5611605,5464916
"CE(22:4(7Z,10Z,13Z,16Z)).17",4918927,4514682,4806759,5588960,5958957,6142678,6436000,6653494,6563074,5885715,5356248,5948444,5573759,5808057,6297352,5913374,5987725,5775863
"CE(22:4(7Z,10Z,13Z,16Z)).18",4839461,4569850,4726932,5338343,5649176,5424644,5783614,5498270,5584316,5669010,5621994,5601522,5660390,5665558,5629759,5640602,5808448,5464916
"CE(22:4(7Z,10Z,13Z,16Z)).19",4493069,3951200,4365364,4679378,4835665,4797344,5347912,5281629,5476930,5139931,5120200,5207954,5107384,5379138,4806010,5384063,5682336,5092707
"CE(22:4(7Z,10Z,13Z,16Z)).20",4536710,3944904,3978505,4470658,4541440,4572458,4773414,4562616,4275605,4614936,4652728,4689572,4810422,5065702,4761964,4758286,5062340,4866143
"CE(22:4(7Z,10Z,13Z,16Z)).21",4482160,4279650,4462722,5137117,5020518,5091792,4978286,5312240,4962859,5093804,5100962,5222986,5555900,5436917,5555212,5267790,5790450,5461975
"CE(22:4(7Z,10Z,13Z,16Z)).22",4006956,3694005,3813104,4376928,4280588,4479706,4562450,4600476,4363062,4161999,4183970,4541300,4454434,4529691,4581451,4595862,4828928,4523220
"CE(22:4(7Z,10Z,13Z,16Z)).23",4661474,4131436,4778894,5585188,6182533,5183978,5164052,5196083,5198120,5408690,5479622,5271893,5839627,5402742,5153846,5717064,6282899,5776382
"CE(22:4(7Z,10Z,13Z,16Z)).24",3235588,3277202,3264384,3897373,3887477,3968169,3586435,3712889,3736104,3703549,3839970,3829004,3783990,3581607,3646940,3977466,4071348,3620940
"CE(22:4(7Z,10Z,13Z,16Z)).25",4383393,4039722,4141336,4792744,5209476,4897640,5084618,5164766,5174847,4844245,5120200,5105698,5106626,5034783,4806010,5384063,5340508,5344686
N-Acryloylglycine.6,610136,1302048,1693812,2594155,2292750,1794013,1375491,1702922,1495788,1391187,2289031,2055750,2769844,2325667,2733755,1773739,2116012,1524339
"CE(22:4(7Z,10Z,13Z,16Z)).26",4822774,4447208,4927290,5392104,5858760,5424644,5555904,5498270,5584316,5669010,5621994,5170018,5567902,5665522,5407356,5640602,6057982,5714618
"CE(22:4(7Z,10Z,13Z,16Z)).27",3484442,3218633,3264384,3897373,3534165,3968169,3734957,3689620,3466862,3287380,3738214,3716320,3881788,3448515,3440790,4217640,3664044,3620940
"CE(22:4(7Z,10Z,13Z,16Z)).28",3082892,2791146,2963970,3085398,3325569,3301012,3186598,3389795,3232442,3262299,3204075,3231803,3099080,3057940,3103724,3664537,3540023,3276748
"CE(22:4(7Z,10Z,13Z,16Z)).29",4585110,4149714,3941785,4759943,4593064,4763545,5594823,5112651,4510444,5025810,4675421,5148915,5355726,5754900,5340563,5328230,5414210,4893170
"CE(22:4(7Z,10Z,13Z,16Z)).30",2575802,2347101,2568896,2860252,2692047,2757792,2846211,2746120,2727481,2855524,3021486,3056037,3115562,2872527,2903319,2826348,2807772,2564333
PubChem_102133219,4358405,4457028,4024102,5288910,5471580,4750596,5927415,5322584,5537604,5637928,5621622,5486513,5580556,5595360,5644172,4543963,5439089,4846650
"1-{2-[(6-amino-4-{2-[3-(2-phenylethyl)phenyl]ethyl}pyridin-3-yl)methyl]-4-hydroxy-5-methoxyphenyl}-11-(piperidin-4-yl)undec-1-ene-3,5-dione",4613302,10995080,14899232,1622254,2760960,1780197,0,16263,1143965,0,52940,0,0,0,0,658966,656694,653386
"(2R,3R,4S,5R,8R,9S,10S,11R,12R)-5-ethyl-3,4-dihydroxy-9-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy-11-[(2S,3R,4S,6R)-3-hydroxy-6-methyl-4-(methylamino)oxan-2-yl]oxy-2,4,8,10,12,14-hexamethyl-6,15-dioxabicyclo[10.2.1]pentadec-1(14)-en-7-one",42984,82315,68033,50261,68456,52586,143056,130650,82004,175611,179678,221212,752018,607000,282792,75369,113149,105366
Pyroglutamic acid.14,763634,1908542,2560327,3194882,2781420,2202166,1620380,1935722,1531091,1635055,2410160,2125684,3141575,2363699,2767869,2030587,2134619,1651257
4-L-Serine-pepstatin A;Hydroxypepstatin A,488796,497120,775556,1553672,655563,1194032,963105,1210671,915470,641511,677790,611827,4584090,3617432,3245698,1540657,1000822,1394064
CNP0432835,423337,403633,531732,987459,547932,902503,799739,951435,686610,347244,362099,405471,1795542,1423678,2066128,1015157,768291,788420
CNP0432835.1,171908,295224,343340,302021,308748,339999,477451,479713,421905,212983,185458,130001,247569,263090,365609,643074,585851,221326
"2-[2-(6-{11,14-dimethyl-13,16-diazatricyclo[10.2.2.1?,?]heptadeca-2,4,6(17),10-tetraen-8-yl}-1-hydroxyhepta-2,4,6-trien-2-yl)-1,10-dihydroxy-6-(3-hydroxypropyl)-10-[2-(methylamino)ethyl]spiro[4.5]decan-7-ylidene]propanal",173269,132639,111872,176895,137829,185301,187915,241768,221020,166123,263584,221135,309122,291903,414598,164847,132669,113921
"PE(15:0/18:2(9Z,12Z))",2869764,2011657,1359147,2232722,1252128,788005,647943,1668877,1298897,1499315,1356384,1815465,1143740,1214548,863459,680514,439990,555794
PC(16:1(9Z)/14:1(9Z)),936175,744540,721226,2065831,741028,302940,359530,598016,845931,602418,502405,611396,351895,772242,439997,304303,250669,90678
"PE(18:2(9Z,12Z)/15:0)",1409049,1000884,946521,2975498,974086,420026,579427,855587,1106260,733992,592130,732639,497233,1120500,413423,501029,442306,292869
PC(16:1(9Z)/14:1(9Z)).1,1297294,792448,805027,2203429,746523,319507,472645,752812,903326,581291,555700,618665,429412,795113,424956,303585,313362,282681
PC(16:1(9Z)/14:1(9Z)).2,2402118,1702037,1061682,2065304,999037,707207,588442,1224263,891748,1148705,1221172,1342292,1032971,1028420,611943,534382,371700,469321
PC(16:1(9Z)/14:1(9Z)).3,1958321,1572925,901016,2280166,933153,499163,679425,984643,855724,910282,1046066,1112322,806881,1074981,627044,458284,334951,483811
Pyroglutamic acid.15,602767,1461170,1551653,2912285,2593537,1971391,1617693,2109409,1646331,1786948,2706446,2566552,3401379,2748652,3403142,2200802,2423356,1724639
PC(16:1(9Z)/14:1(9Z)).4,1106681,789507,695101,2243866,827671,272552,530642,781422,993383,650564,523828,694462,422477,1130612,435055,479776,352309,284658
"PE(18:2(9Z,12Z)/15:0).1",1115468,755728,843576,1807935,733122,372002,369059,609600,627850,572127,503548,543514,338964,540440,460881,323140,298267,227866
PC(16:1(9Z)/14:1(9Z)).5,1106656,777081,819245,1870141,713247,364958,275156,636586,651961,595962,497766,615560,401013,588655,480527,366848,269452,186541
"PE(15:0/18:2(9Z,12Z)).1",1098156,792448,805027,2203429,746523,319507,442708,752812,903326,624815,665020,698650,429412,863187,424956,378294,362975,246376
PC(16:1(9Z)/14:1(9Z)).6,4291924,2973671,2143328,3491708,1902904,1303116,927123,2528609,1731034,2243147,2253968,2238165,1717005,1894487,1024585,995534,741636,733709
"PE(15:0/18:2(9Z,12Z)).2",1069104,820804,771304,2365272,909432,301395,541630,733560,906635,576750,574554,644812,410730,947957,428973,505989,330041,316684
PC(16:1(9Z)/14:1(9Z)).7,1155730,735043,804017,1949925,599333,408989,423134,644310,725522,618957,456938,555069,389324,637589,450161,364288,312674,267660
"PE(15:0/18:2(9Z,12Z)).3",1154380,759502,740891,2036537,836317,342763,527790,720809,914499,591877,592120,639002,376775,1130612,446640,477631,350215,337954
"PE(15:0/18:2(9Z,12Z)).4",1180180,781711,656823,2219407,833405,359459,545335,689858,843014,575898,627722,656705,400266,1034122,382515,468304,364074,324940
N-Acryloylglycine.7,1061094,3334230,5085498,4700822,3809012,2995059,2008033,2660081,2094320,1956276,2988748,2751306,3947038,3248947,3366180,2795388,2832894,2347089
PC(16:1(9Z)/14:1(9Z)).8,1315204,971551,1047895,2760248,883446,457303,475025,876183,970310,779273,546676,732329,456918,977465,564942,480794,386937,307574
"PE(15:0/18:2(9Z,12Z)).5",1180180,820804,771304,2365272,863392,359459,541630,689858,898295,512413,516450,656705,400266,1034122,443770,420055,364074,324940
PC(P-16:0/15:1(9Z)),1837355,2420336,2753154,2054712,2002507,2127457,2258499,2473426,1914613,2282860,2150554,2199018,2094366,1962766,2232063,2218236,2257714,2437246
PE(18:1(9Z)/P-16:0),114884,173770,146798,152473,142523,183534,196629,146183,271410,211348,156647,194543,120003,117333,124428,113122,171887,171375
PubChem_139763996,2051589,2046048,2003699,2355959,2645643,2454745,2367860,2461294,2431830,2199390,2299204,2223361,2436578,2226601,2430780,2604642,2612740,2609195
PubChem_15290427,2198516,2069656,1930244,2317634,2139163,2212645,2158898,2092082,2122286,2084997,2114140,2131475,2183186,2088183,2259591,2405700,2175422,2295485
PubChem_67058117.4,9410863,8208630,7578838,7084530,9336404,7350266,9498468,9360718,9002070,9476074,11169209,10093032,10497873,12900756,11414684,8852046,10002856,10927026
N-Acryloylglycine.8,742110,1968225,2424236,3107447,2494041,2084710,1517750,2039944,1528402,1565339,2290840,2232385,3073152,2443227,2651880,2006049,2112270,1676043
PubChem_15290427.1,2372849,2062078,2225104,2550565,2785609,2739316,2723057,2831630,2690222,2910188,2794504,2997281,2726032,2537218,2670822,2736153,2844011,2699844
PubChem_19435906,324861,376685,706302,1857352,1878146,1768394,1256532,1202299,2029010,1662714,1807794,976803,1753266,1936739,1950199,1738689,1920884,2026630
PubChem_19435906.1,1894019,1978724,2008055,157614,205355,542559,1936289,1947970,490682,655579,611176,1762232,757849,815170,1950199,1738689,1920884,735604
"{5a,5b,8,8,11a-pentamethyl-9-[(3-phenylprop-2-enoyl)oxy]-1-(prop-1-en-2-yl)-icosahydro-1H-cyclopenta[a]chrysen-3a-yl}methyl 3-phenylprop-2-enoate.1",408307,472726,390113,425875,237548,518588,382160,362780,303242,579587,1948127,776194,239727,248581,204340,626013,562000,432919
UNPD77649,101983,155239,134610,180903,41836,139183,88946,51717,71137,106519,599976,133991,67195,70686,52353,111150,224341,58055
Spirangien I,252594,147702,163812,345072,132162,314413,1809747,1942777,1346188,1710491,2146379,2134483,845673,733624,740923,114891,48029,122749
N-Acryloylglycine.9,814458,2131590,2994366,3269787,2927143,2385224,1472921,2163894,1571176,1727098,2365330,2312490,3484949,2692229,3015064,2222723,2177554,1798203
PubChem_132279518,759940,547005,631142,1089632,404852,1354783,523849,459964,658930,409401,358761,611389,260331,563260,281313,307369,265529,251104
UNPD218607,1088623,1103948,890581,2201964,842076,929094,2353080,3253360,2090967,1472247,1829537,2026585,1189644,1730801,944752,549482,569039,567048
22:3 Cholesteryl ester,7553320,7468382,7237790,7850286,11374918,8852512,11996894,10928443,11200506,11460485,11445933,10568094,10284896,10414582,11657243,10624891,11845960,11627228
methyl 4-[(diphenylphosphoroso)amino]benzoate,6015268,6409420,6268723,5855482,6207205,6256631,3696428,3496091,4604003,1263169,834455,1734594,4517107,4869824,4202838,6035076,5385413,6038394
PS(15:1(9Z)/15:1(9Z)),592650,350377,374996,396563,135085,586920,1188897,3041682,2306946,2160076,2611046,3671785,3719778,2324324,1489284,892002,665509,647709
Pyroglutamic acid.16,549085,717515,1003491,1369847,1415642,1335237,1312106,1597660,1338795,1390150,1966831,1729185,2885131,2231849,2452611,1444193,1702329,1530846
PE(15:0/18:1(9Z)),1982657,1331669,1223187,2186941,1365968,1208710,1325103,1202705,1155593,1542333,1533588,1625949,1590245,1527277,1638020,1294031,1435858,1182038
PE(15:0/18:1(9Z)).1,3235788,1504528,1019656,4230075,1807623,1522916,1591232,1339891,1312857,2228817,2393324,2882110,2270954,2718374,2442050,1394540,2299638,1334073
PC(16:1(9Z)/14:0),3564944,1433776,1112033,4402115,1935581,1552234,1701787,1449440,1516062,2201094,2524202,2932607,2267670,2833823,2472800,1383789,2481561,1437678
PC(16:1(9Z)/14:0).1,4168536,1760951,1278698,4880944,2041282,1955827,1908937,1719042,1486214,2670488,3141178,3477523,2467166,3244742,2880102,1633152,2777218,1811018
PC(16:1(9Z)/14:0).2,2789238,1205162,875964,3542671,1475066,1212812,1507306,1114741,1198742,1866037,2207990,2369130,1930264,1985492,2294994,1223705,1903621,1045483
PC(16:1(9Z)/14:0).3,4024888,1678255,1127676,4880944,2116273,1955827,1908937,1851009,1659911,2670488,3256529,3823483,2467166,3570438,2935212,1732115,2961531,1811018
PC(16:1(9Z)/14:0).4,3683391,1561546,1290862,4769198,1889748,1710031,1731043,1301465,1485298,2491152,2595518,3208210,2416648,2685435,2719706,1566306,2579227,1432161
PC(16:1(9Z)/14:0).5,3340814,1618951,1095696,4406235,2181646,1693229,1813616,1492714,1519550,2508169,2955966,3080682,2392466,3004404,2682613,1566079,2502540,1548956
PC(16:1(9Z)/14:0).6,3320974,1463301,1118273,4059342,1769937,1540022,1632150,1508029,1607544,2217219,2665504,2978580,2230234,2965694,2474500,1393480,2501415,1467772
Pyroglutamic acid.17,735843,1871271,2464678,3281671,2539082,1822548,1494078,2026945,1636038,1605957,2358622,2196574,2773490,2580520,2791212,2190338,2088570,1678148
PE(18:1(11Z)/15:0),3080218,1561127,1184134,4260824,1824356,1542157,2212719,2266033,1858423,2240411,2722060,3373704,2312229,2753559,2555212,1421473,2567580,1369292
PC(16:1(9Z)/14:0).7,8986580,3448312,2731864,9534129,4405732,5152470,4260374,4006667,4231454,5975868,7788722,7475335,4364750,7429833,6628986,3112426,5077197,3891885
PE(18:1(9Z)/15:0),2742884,1297330,988084,4156011,1943691,1518400,1708743,1456643,1467431,2489154,2777153,2968948,2281460,2872221,2474760,1435100,2313751,1518103
PC(16:1(9Z)/14:0).8,3232774,1435894,1009916,3925838,1752018,1395951,1744224,1365836,1446183,2155778,2532707,2768714,2018942,2697811,2236092,1415429,2251928,1237475
PC(16:1(9Z)/14:0).9,2853982,1208471,994734,3266830,1549486,1275571,1383804,1006167,1223430,1585729,1950633,2206550,1713526,2159356,2082269,1215661,1771148,1003085
PC(16:1(9Z)/14:0).10,3565427,1504643,1118129,4601711,1878513,1708106,1877596,1626009,1563689,2406798,2988846,3323464,2346858,3395242,2718915,1561447,2552775,1520775
PC(16:1(9Z)/14:0).11,2789238,1205162,1070658,3445499,1475066,1212812,1332672,1114741,1163374,1708590,2207990,2369130,1884605,2302130,2294994,1163424,1800996,1003085
PC(16:1(9Z)/14:0).12,3564944,1556870,1112033,4402115,1826326,1501487,1637231,1449440,1345074,2316316,2524202,3089176,2267670,2704248,2429728,1328305,2481561,1451598
dodecylphosphocholine,3759432,1462651,1118273,4059342,1769937,1434778,1632150,1374926,1374302,2181943,2464741,3146009,2230234,2642656,2367224,1393480,2187844,1336787
N-Acryloylglycine.10,1942667,6303708,9354195,7252436,6660300,4762402,3239320,4574624,3716961,3067766,4706457,3913440,6813428,5913792,6006368,4424534,4206908,4309896
PC(16:1(9Z)/14:0).13,2894103,1236021,994734,3399232,1549486,1293631,1363838,1006355,1160262,1585729,1950633,2206550,1673267,2161201,2170951,1215661,1809683,1094976
PE(18:1(11Z)/15:0).1,4493284,2146162,1270395,5859502,2313158,2245274,2310432,2183263,1862346,3057965,4315944,4425635,2913195,4127612,3438336,1746657,2921127,2204389
PC(16:1(9Z)/14:0).14,3847622,1759834,1263291,5011840,2190168,1883298,1812509,1764097,1858652,2524774,2996758,3344596,2276952,3066662,2739896,1637923,2952942,1593604
PC(16:1(9Z)/14:0).15,2709423,1342842,951448,4075626,1521182,1291354,1609612,1073958,1197289,2022887,2122033,2585844,2344620,2511884,2575085,1256740,2005058,1163642
PE(18:1(9Z)/15:0).1,5951920,2212930,1833427,5878965,2690686,3215920,2860504,2818086,2825826,3520863,4960647,5280254,3042886,4638153,4190676,2046382,3691275,2799592
PC(16:1(9Z)/14:0).16,3999392,1858220,1319065,5082215,2111910,1884807,2159816,1884079,1871342,2601442,3274412,3811936,2608567,3604934,3098325,1738572,3129458,1867799
PC(16:1(9Z)/14:0).17,4596868,1851837,1461314,5362051,2228088,2060404,2075158,1972902,1776357,2846898,3606447,3859580,2539572,3942412,3202990,1820109,2895723,1935179
Occidentoside,7447355,9042748,8970347,6721811,10152088,8152871,10669858,9965922,8321692,9583348,8898282,8815590,8063998,7200346,8696341,5691294,6328531,6140282
